order_id,customer_id,product_id,category,price,discount,quantity,payment_method,order_date,delivery_time_days,region,returned,total_amount,shipping_cost,profit_margin,customer_age,customer_gender,age_group,delivery_speed,gross_amount,discount_amount,net_revenue,net_profit,is_unprofitable
O100000,C17270,P234890,Home,164.08,0.15,1,Credit Card,2023-12-23,4,West,0,139.47,7.88,31.17,60,Female,51-65,Standard (4-7 days),164.08,24.610000000000014,139.47,31.17,0
O100001,C17603,P228204,Grocery,24.73,0.0,1,Credit Card,2025-04-03,6,South,0,24.73,4.6,-2.62,37,Male,36-50,Standard (4-7 days),24.73,0.0,24.73,-2.62,1
O100002,C10860,P213892,Electronics,175.58,0.05,1,Credit Card,2024-10-08,4,North,0,166.8,6.58,13.44,34,Male,26-35,Standard (4-7 days),175.58,8.780000000000001,166.8,13.44,0
O100003,C15390,P208689,Electronics,63.67,0.0,1,UPI,2024-09-14,6,South,0,63.67,5.5,2.14,21,Female,18-25,Standard (4-7 days),63.67,0.0,63.67,2.14,0
O100004,C15226,P228063,Home,16.33,0.15,1,COD,2024-12-21,6,East,0,13.88,2.74,1.15,39,Male,36-50,Standard (4-7 days),16.33,2.4499999999999975,13.88,1.15,0
O100005,C15191,P214062,Beauty,53.91,0.1,2,Credit Card,2024-04-14,5,South,0,97.04,6.32,37.35,35,Female,26-35,Standard (4-7 days),107.82,10.779999999999987,97.04,37.35,0
O100006,C13772,P201363,Electronics,266.5,0.0,1,PayPal,2025-05-20,5,East,0,266.5,9.1,22.88,49,Male,36-50,Standard (4-7 days),266.5,0.0,266.5,22.88,0
O100007,C13092,P216691,Beauty,9.98,0.0,1,Credit Card,2023-09-14,4,West,0,9.98,4.51,-0.02,66,Other,65+,Standard (4-7 days),9.98,0.0,9.98,-0.02,1
O100008,C15734,P202751,Fashion,6.61,0.05,1,Debit Card,2023-10-23,6,West,0,6.28,3.43,-1.23,37,Female,36-50,Standard (4-7 days),6.61,0.33000000000000007,6.28,-1.23,1
O100009,C16265,P207782,Grocery,10.91,0.0,1,Credit Card,2023-10-31,6,South,0,10.91,2.76,-1.89,56,Male,51-65,Standard (4-7 days),10.91,0.0,10.91,-1.89,1
O100010,C10466,P217648,Beauty,6.61,0.1,1,Debit Card,2024-02-07,5,South,0,5.95,2.16,0.52,40,Female,36-50,Standard (4-7 days),6.61,0.6600000000000001,5.95,0.52,0
