customer_id,customer_age,customer_gender,age_group,region
C17270,60,Female,51-65,West
C17603,37,Male,36-50,South
C10860,34,Male,26-35,North
C15390,21,Female,18-25,South
C15226,39,Male,36-50,East
C15191,35,Female,26-35,South
C13772,49,Male,36-50,East
C13092,66,Other,65+,West
C15734,37,Female,36-50,West
C16265,56,Male,51-65,South
C10466,40,Female,36-50,South
C15334,21,Other,18-25,South
C14426,22,Female,18-25,West
C15578,56,Female,51-65,North
C16231,63,Male,51-65,North
C13444,36,Male,36-50,North
C13171,47,Male,36-50,West
C12919,37,Male,36-50,South
C17831,58,Female,51-65,South
C10130,56,Male,51-65,North
C11685,64,Female,51-65,West
C17476,49,Other,36-50,North
C10769,41,Female,36-50,North
C12391,34,Male,26-35,South
C15611,32,Female,26-35,Central
C17581,49,Female,36-50,East
C16949,20,Female,18-25,South
C12433,60,Female,51-65,West
C15311,61,Female,51-65,South
C15051,36,Female,36-50,East
C16420,44,Male,36-50,South
C11184,32,Male,26-35,East
C14555,61,Female,51-65,North
C13385,26,Male,26-35,South
C14117,21,Female,18-25,North
C16396,19,Female,18-25,South
C14843,28,Female,26-35,South
C12904,28,Male,26-35,West
C17728,46,Female,36-50,West
C10474,51,Female,51-65,West
C11082,20,Female,18-25,South
C12558,35,Male,26-35,West
C17849,36,Female,36-50,North
C12047,48,Male,36-50,South
C17643,53,Male,51-65,Central
C12747,62,Male,51-65,West
C10975,30,Female,26-35,South
C11806,58,Male,51-65,West
C10189,55,Female,51-65,North
C17101,35,Female,26-35,South
C12734,66,Female,65+,East
C13005,43,Female,36-50,West
C14658,67,Male,65+,North
C11899,40,Female,36-50,South
C17734,55,Female,51-65,East
C11267,60,Male,51-65,South
C16975,57,Female,51-65,Central
C11528,37,Female,36-50,North
C13202,53,Male,51-65,Central
C13556,69,Female,65+,North
C13890,69,Male,65+,West
C10646,25,Other,18-25,North
C16164,36,Male,36-50,West
C12888,22,Female,18-25,West
C16310,59,Male,51-65,West
C15393,65,Male,51-65,North
C12435,58,Female,51-65,West
C10600,50,Male,36-50,North
C12363,30,Male,26-35,South
C12061,44,Female,36-50,East
C10241,25,Female,18-25,South
C12041,28,Female,26-35,West
C12824,53,Male,51-65,East
C17513,24,Male,18-25,South
C12612,69,Male,65+,South
C17041,46,Other,36-50,West
C11363,31,Male,26-35,Central
C16235,20,Female,18-25,West
C15486,45,Male,36-50,Central
C17099,68,Male,65+,North
