product_id,category,price
P234890,Home,164.08
P228204,Grocery,24.73
P213892,Electronics,175.58
P208689,Electronics,63.67
P228063,Home,16.33
P214062,Beauty,53.91
P201363,Electronics,266.5
P216691,Beauty,9.98
P202751,Fashion,6.61
P207782,Grocery,10.91
P217648,Beauty,6.61
P212540,Beauty,16.22
P245991,Grocery,10.56
P205339,Toys,7.12
P227020,Home,39.19
P227609,Home,12.63
P205848,Sports,96.61
P216877,Fashion,16.0
P218405,Electronics,734.32
P248629,Fashion,50.52
P246233,Toys,17.99
P221471,Fashion,39.54
P203302,Electronics,128.8
P214437,Fashion,176.45
P247930,Sports,345.57
P214512,Beauty,12.49
P232436,Sports,157.21
P223511,Fashion,11.24
P205022,Grocery,20.97
P243239,Home,54.42
P206155,Home,54.93
P231480,Grocery,10.32
P238022,Grocery,7.56
P225332,Sports,22.33
P204354,Grocery,12.84
P231847,Beauty,8.89
P235284,Fashion,33.9
P248640,Fashion,17.92
P210156,Beauty,50.75
P222453,Beauty,13.11
P232689,Home,297.65
P223758,Grocery,6.2
P208838,Home,36.05
P245502,Fashion,47.26
P243790,Electronics,313.25
P237976,Grocery,13.7
P249346,Toys,9.07
P213725,Beauty,12.45
P209337,Toys,7.33
P210701,Toys,53.85
P229811,Grocery,16.12
P243043,Home,195.87
P238978,Beauty,8.29
P229316,Electronics,402.13
P211544,Grocery,19.94
P221514,Grocery,6.52
P216327,Toys,5.38
P246809,Home,167.21
P216705,Home,134.37
P210479,Home,122.85
P211323,Fashion,14.91
P212937,Beauty,10.46
P223089,Electronics,368.67
P201702,Grocery,13.52
P210404,Home,116.53
P233598,Grocery,20.24
P208380,Sports,175.75
P221990,Fashion,20.91
P232859,Fashion,13.43
P203877,Grocery,3.96
P242871,Toys,8.5
P218720,Fashion,150.12
P207676,Electronics,97.95
P231818,Sports,217.48
P234348,Fashion,16.18
P248555,Fashion,26.06
P242368,Sports,23.23
P248180,Sports,20.73
P224130,Home,23.16
P233241,Grocery,6.53
P244392,Sports,82.93
P249421,Grocery,3.95
P226620,Fashion,137.66
P217077,Fashion,48.41
P212663,Electronics,753.1
P217799,Fashion,12.92
P247285,Grocery,3.04
P217619,Grocery,25.7
P203967,Toys,18.51
P227488,Beauty,71.36
P213211,Toys,5.12
P221169,Beauty,3.65
P230373,Electronics,857.18
P232669,Home,168.01
P206634,Beauty,43.33
P200840,Fashion,22.26
P234229,Fashion,5.15
P221318,Fashion,37.42
P215405,Beauty,115.85
P247771,Electronics,823.81
P236240,Sports,17.35
P215847,Home,37.39
P223547,Fashion,23.33
P206575,Toys,36.89
P230123,Home,239.28
P204843,Home,36.94
P227451,Toys,16.98
P207739,Home,101.74
P214852,Toys,12.52
P249092,Home,111.08
P209157,Fashion,22.03
P222406,Beauty,21.58
P247284,Fashion,61.89
P245200,Electronics,70.98
P207432,Electronics,1161.68
P218837,Fashion,13.88
P215148,Sports,53.93
P211194,Toys,14.51
P232591,Toys,2.82
P214819,Fashion,44.08
P206625,Sports,210.6
P207404,Fashion,118.71
P214674,Beauty,12.67
P210507,Grocery,11.77
P220387,Electronics,537.39
P218697,Grocery,4.84
P237391,Toys,16.78
P219547,Toys,10.98
P223570,Sports,56.72
P239783,Toys,3.94
P228037,Grocery,7.88
P230083,Toys,5.45
P248029,Fashion,22.63
P240550,Beauty,12.82
P237982,Fashion,32.69
P239706,Grocery,33.76
P202988,Grocery,14.13
P205156,Beauty,92.86
P238280,Toys,19.57
P209788,Grocery,22.56
P214185,Fashion,93.34
P218734,Beauty,35.91
P209971,Home,155.94
P243408,Toys,12.64
P206487,Home,120.29
P220997,Sports,31.17
P246456,Home,136.79
P212452,Electronics,284.7
P215372,Electronics,580.17
P244767,Electronics,806.71
P213434,Electronics,96.31
P212416,Beauty,31.77
P219248,Sports,304.67
P246713,Electronics,862.36
P228194,Beauty,47.06
P233785,Beauty,4.21
P237458,Electronics,144.57
P208373,Home,31.13
P230283,Sports,267.28
P229415,Electronics,499.11
P226414,Electronics,296.62
P214378,Grocery,52.12
P218336,Sports,31.3
P204700,Home,145.09
P213901,Beauty,26.03
P224838,Toys,10.19
P222597,Toys,15.07
