order_id,customer_id,product_id,order_date,payment_method,quantity,discount,gross_amount,discount_amount,total_amount,shipping_cost,profit_margin,net_revenue,net_profit,returned,is_unprofitable,delivery_time_days,delivery_speed
O100000,C17270,P234890,2023-12-23,Credit Card,1,0.15,164.08,24.610000000000014,139.47,7.88,31.17,139.47,31.17,0,0,4,Standard (4-7 days)
O100001,C17603,P228204,2025-04-03,Credit Card,1,0.0,24.73,0.0,24.73,4.6,-2.62,24.73,-2.62,0,1,6,Standard (4-7 days)
O100002,C10860,P213892,2024-10-08,Credit Card,1,0.05,175.58,8.780000000000001,166.8,6.58,13.44,166.8,13.44,0,0,4,Standard (4-7 days)
O100003,C15390,P208689,2024-09-14,UPI,1,0.0,63.67,0.0,63.67,5.5,2.14,63.67,2.14,0,0,6,Standard (4-7 days)
O100004,C15226,P228063,2024-12-21,COD,1,0.15,16.33,2.4499999999999975,13.88,2.74,1.15,13.88,1.15,0,0,6,Standard (4-7 days)
O100005,C15191,P214062,2024-04-14,Credit Card,2,0.1,107.82,10.779999999999987,97.04,6.32,37.35,97.04,37.35,0,0,5,Standard (4-7 days)
O100006,C13772,P201363,2025-05-20,PayPal,1,0.0,266.5,0.0,266.5,9.1,22.88,266.5,22.88,0,0,5,Standard (4-7 days)
O100007,C13092,P216691,2023-09-14,Credit Card,1,0.0,9.98,0.0,9.98,4.51,-0.02,9.98,-0.02,0,1,4,Standard (4-7 days)
O100008,C15734,P202751,2023-10-23,Debit Card,1,0.05,6.61,0.33000000000000007,6.28,3.43,-1.23,6.28,-1.23,0,1,6,Standard (4-7 days)
O100009,C16265,P207782,2023-10-31,Credit Card,1,0.0,10.91,0.0,10.91,2.76,-1.89,10.91,-1.89,0,1,6,Standard (4-7 days)
O100010,C10466,P217648,2024-02-07,Debit Card,1,0.1,6.61,0.6600000000000001,5.95,2.16,0.52,5.95,0.52,0,0,5,Standard (4-7 days)
O100011,C15334,P212540,2024-07-08,PayPal,1,0.0,16.22,0.0,16.22,3.72,3.58,16.22,3.58,0,0,5,Standard (4-7 days)
O100012,C14426,P245991,2024-10-13,Credit Card,1,0.1,10.56,1.0600000000000005,9.5,4.99,-4.23,9.5,-4.23,0,1,4,Standard (4-7 days)
O100013,C15578,P205339,2023-11-01,Debit Card,1,0.0,7.12,0.0,7.12,3.35,-0.5,7.12,-0.5,0,1,5,Standard (4-7 days)
O100014,C16231,P227020,2025-02-24,Credit Card,2,0.0,78.38,0.0,78.38,7.91,14.04,78.38,14.04,0,0,3,Fast (1-3 days)
O100015,C13444,P227609,2024-05-03,Credit Card,4,0.2,50.52,10.100000000000001,40.42,6.19,5.13,40.42,5.13,0,0,3,Fast (1-3 days)
O100016,C13171,P205848,2024-08-25,PayPal,1,0.05,96.61,4.829999999999998,91.78,3.6,23.93,91.78,23.93,0,0,4,Standard (4-7 days)
O100017,C12919,P216877,2024-09-12,PayPal,3,0.0,48.0,0.0,48.0,4.48,12.32,48.0,12.32,0,0,5,Standard (4-7 days)
O100018,C17831,P218405,2025-06-20,Wallet,2,0.0,1468.64,0.0,1468.64,10.9,165.34,1468.64,165.34,0,0,4,Standard (4-7 days)
O100019,C10130,P248629,2024-10-10,Credit Card,1,0.0,50.52,0.0,50.52,6.2,11.48,0.0,0.0,1,0,3,Fast (1-3 days)
